time_s,brain_region,mouse_identity,zscore_DA,intruder_identity,distance_head_res__head_int,angle_head_res__head_int_deg,distance_head_res__hind_int,angle_head_res__hind_int_deg,distance_head_int__hind_res,angle_head_int__hind_res_deg,distance_hind_res__hind_int,velocity_resident,velocity_intruder,behavior_active
185.3,NAc,n5,-0.7582377633328029,Short_Term_1,16.30483939726892,114.32613186930956,16.43987704424724,123.6921939383742,21.81451917215509,101.88513706021672,22.51062296378906,18.911015420817332,1.1849900882181876,Investigation
185.4,NAc,n5,-0.6940993785407392,Short_Term_1,15.222622353372877,117.82350468733307,15.17482817339843,123.53789194669736,20.553017152225458,107.52978593446511,21.207793525887087,17.317302941792672,1.370630247128312,Investigation
185.5,NAc,n5,-0.7178631586981087,Short_Term_1,14.290459332590837,123.07396980699639,14.016206460004152,123.07325663108588,19.387693373148945,115.91001735677906,19.991491310160143,17.040750503143958,1.6381334448973868,Investigation
185.6,NAc,n5,-0.17545046046438662,Short_Term_1,13.531184050629909,129.50191833749625,12.985728426396905,122.20828656521257,18.352578246958394,126.14407824053775,18.887642099669776,16.34944142590311,2.0585144064451875,Investigation
185.7,NAc,n5,1.511729811208107,Short_Term_1,12.946479989271996,136.03659849988162,12.113897942462426,121.53644598808756,17.442655799941306,136.45490817513985,17.922730624749697,15.273113912799811,2.5437368845110684,Investigation
185.8,NAc,n5,3.2438915296393653,Short_Term_1,12.568261356919756,141.7101756116641,11.442038243469659,120.70787784714065,16.70072862996681,146.37739960414078,17.142501490102397,13.952527290746982,2.9897100466673665,Investigation
185.9,NAc,n5,4.18898819269966,Short_Term_1,12.347337728465101,145.41866205569488,10.944200816118352,119.20073166132704,16.132882004610888,154.86834299135782,16.559849081157935,12.647175431225481,3.3261307740898522,Investigation
186.0,NAc,n5,4.351192169850895,Short_Term_1,12.20082051524662,148.06122695951336,10.585508187869289,118.96100739499576,15.63127617356389,161.49451278625423,16.116670292331982,11.04254408912364,3.721568302481942,Investigation
186.1,NAc,n5,4.005676655466283,Short_Term_1,12.06493049540297,149.4268638838103,10.355059592247821,120.00181457704724,15.15367728753957,166.28744231862927,15.816756083352757,8.888156275248258,4.179444859588218,Investigation
186.2,NAc,n5,3.831427771347999,Short_Term_1,11.894844861819102,150.5560231558568,10.207893592928542,122.26521078426009,14.679205026760425,169.95543949694834,15.641998898325513,6.5249560926059145,4.4486126447292875,Investigation
186.3,NAc,n5,3.2916069028221733,Short_Term_1,11.597944079162598,151.90110499296645,10.085256844986299,125.84621952064367,14.14086152685343,172.88493121356902,15.565475526286184,4.159120609845982,4.573050020049881,Investigation
186.4,NAc,n5,2.8155805814521173,Short_Term_1,11.110654962637952,154.63584175723634,9.973024156419896,131.89954521614897,13.472233925194308,174.95515558787523,15.529646141443905,2.600243458204205,4.583817963351664,Investigation
186.5,NAc,n5,2.32009942252031,Short_Term_1,10.62688542908633,160.5933729130653,10.016953011352284,138.7028492368117,12.80564855197335,179.27785362564435,15.499566741740553,3.0854378663073887,4.249873449819451,Investigation
186.6,NAc,n5,2.1797638622358915,Short_Term_1,10.192661604495864,167.67237973888706,10.254241250326224,146.20272246785987,12.267751842062795,172.54825366878129,15.562406188541809,3.5576631416426046,3.801188620944512,Investigation
186.7,NAc,n5,2.625366425684499,Short_Term_1,9.765975781098335,174.6391788531073,10.528414462088312,153.92936901371093,11.8807391373561,166.15704617680717,15.724567030185018,3.0227703694882653,3.6489985989004685,Investigation
186.8,NAc,n5,2.782334739343291,Short_Term_1,9.39599204343376,179.16656210612365,10.789116764735285,162.18079628998055,11.543788256655874,161.42965551003238,15.846691806373387,1.7247673589959818,3.6813401471273615,Investigation
186.9,NAc,n5,2.34926246447609,Short_Term_1,9.040306805341597,174.30266805283782,10.99947296975317,170.46435698124264,11.159033652661346,157.96935490296858,15.863034522374875,0.48167971493330025,3.640073315776752,Investigation
187.0,NAc,n5,2.602103597976637,Short_Term_1,8.640898305918629,172.18637101189117,11.121323664656442,176.92394144665047,10.71837383495493,155.7466055985832,15.775421342022696,0.11302007125367558,3.4892469777576385,Investigation
