video_name,subject_name,event_index,brain_region,tone_abs_time_s,tone_peak_time_s,tone_peak_amp,lick_peak_time_s,lick_peak_amp,first_lick_time_s
nn5-250203-080636,nn5,1,NAc,1121.13352704,0.7672523826629458,6.478298632459943,4.79771630036953,4.288734082961514,4.0
nn1-250203-085508,nn1,1,NAc,330.00865792,0.6689483846701023,3.308366453470187,4.79771630036953,5.462825861341647,4.0
nn3-250203-085508,nn3,1,NAc,250.00820736,0.6689483846701023,5.212932108646503,5.09262829434806,4.675901617311977,4.0
nn6-250203-112333,nn6,1,NAc,320.79822848,0.4723403886844153,7.160802276702916,6.272276270262182,9.324817563568468,4.0
nn7-250203-112333,nn7,1,NAc,1595.80667904,0.4723403886844153,4.96500353562378,5.09262829434806,8.06772618362175,4.0
nn4-250203-121223,nn4,1,NAc,243.716096,0.3740363906915718,0.3327456721321853,5.977364276283652,1.1904214055655122,25.120112640000002
nn1-250205-090150,nn1,1,NAc,1596.17040384,3.4214603284697205,6.495879240355635,5.289236290333747,10.563954850964365,4.0
nn5-250205-104235,nn5,1,NAc,367.35533056,0.5706443866772588,3.271271362220935,5.09262829434806,7.64711947278696,4.0
nn8-250205-104235,nn8,1,NAc,287.35504384,0.5706443866772588,3.720859932957416,5.682452282305121,3.236954770918178,4.0
nn7-250205-131504,nn7,1,NAc,241.06991616,3.8146763204410945,3.003675998421117,6.862100258219243,6.904974918001825,4.0
nn6-250204-075106,nn6,1,NAc,434.78974464,0.07912439671304128,1.5278716482984325,4.79771630036953,1.6369929121723232,4.0
nn2-250204-085225,nn2,1,NAc,242.6912768,0.4723403886844153,6.6045010809315885,4.79771630036953,9.232337697788566,4.0
nn8-250204-113128,nn8,1,NAc,232.69851136,0.5706443866772588,6.531562851883811,4.79771630036953,7.691220027551873,4.0
nn5-250204-113128,nn5,1,NAc,232.69851136,0.5706443866772588,6.972889360172673,4.79771630036953,5.420801276970504,4.0
nn3-250204-122327,nn3,1,NAc,240.7038976,0.4723403886844153,6.0590692206227335,4.994324296355217,4.025565042783846,4.0
nn2-250206-053033,nn2,1,NAc,492.91296768,0.3740363906915718,6.878206314752525,4.79771630036953,5.175700718131268,4.0
nn6-250206-073116,nn6,1,NAc,241.33926912,0.4723403886844153,7.384055281815265,5.780756280297965,9.805030287055555,4.0
nn7-250206-073116,nn7,1,NAc,321.33955584,0.3740363906915718,6.463376522005733,9.418004206033174,1.5964535538866031,4.0
nn4-250206-081929,nn4,1,NAc,321.36740864,0.7672523826629458,6.107191153179542,4.896020298362373,5.119609124971935,4.0
nn3-250206-081929,nn3,1,NAc,241.36695808,0.9638603786486328,3.1752155890626215,4.699412302376686,4.750667014461611,4.0
nn8-250206-102501,nn8,1,NAc,241.2240896,0.8655563806557893,6.7088203810749825,4.79771630036953,6.15443648428278,4.0
n6-240912-062009,n6,1,NAc,241.79818496,2.0452043565699114,1.2546673521928526,5.584148284312278,1.5010528483513625,12.940083200000004
n7-240912-095235,n7,1,NAc,241.98299648,0.6689483846701023,2.263203915910055,4.79771630036953,8.646897609010248,4.0
n7-240915-073140,n7,1,NAc,243.39595264,2.733332342519816,1.6022697632348917,4.6011083043838426,7.413585937140498,4.0
n6-240914-065650,n6,1,NAc,242.72257024,0.3740363906915718,0.25087985356422876,4.699412302376686,1.6153563324307734,4.0
n6-240914-095611,n6,1,NAc,415.34636032,1.2587723726271633,1.990468160735312,5.584148284312278,2.9396647704582652,4.260003840000024
n7-240914-082547,n7,1,NAc,242.5298944,1.2587723726271633,2.2190189005483596,4.6011083043838426,9.124800244665366,4.0
n6-240913-062437,n6,1,NAc,240.92082176,1.1604683746343198,1.4913017620032503,4.896020298362373,3.6262969892734276,4.0
n7-240913-080108,n7,1,NAc,321.4057472,3.8146763204410945,1.5497699507731764,4.699412302376686,8.34015530301077,4.0
nn2-250205-113735,nn2,1,NAc,241.35155712,1.6519883645985374,0.9917262954998052,4.79771630036953,3.6808387767139186,4.0
nn4-250205-113735,nn4,1,NAc,241.35155712,1.0621643766414763,0.3119967788862574,5.584148284312278,0.12283527276890988,4.890132480000005
